name,age,gender,user_name,monster_card,monster_description,price
Katherine,59,female,zachary04,tyrannosaurus-rex,humanoid (any race),18.31
Kimberly,77,female,hatfieldallen,spy,fey,15.56
Bonnie,33,female,christopher53,tyrannosaurus-rex,dragon,7.58
Patricia,64,female,kristinle,werewolf,fey,4.48
Cynthia,17,female,ecrosby,giant-constrictor-snake,humanoid (orc),17.73
Melissa,34,female,reevesmegan,darkling-elder,humanoid (goblinoid),2.3
Gabriela,14,female,zmcmillan,minotaur-skeleton,fiend (yugoloth),6.12
Tina,74,female,reevesmegan,mummy-lord,fiend (yugoloth),17.15
Michelle,37,female,morenoellen,archmage,fiend (demon),17.65
Heather,5,female,zmcmillan,spy,humanoid (any race),7.34
Kimberly,63,female,fcrosby,swarm-of-poisonous-snakes,undead (titan),2.45
Chelsea,66,female,mcdowellelizabeth,spy,fiend (demon),5.09
Kaitlyn,6,female,april74,magmin,fey,3.68
Tara,42,female,kristinle,shadow-demon,plant,6.26
Tanya,8,female,rjones,wight,aberration (shapechanger),6.71
Emma,22,female,kristinle,shadow-demon,fiend (demon),8.34
Jessica,47,female,rrobinson,owlbear,humanoid (any race),16.51
Kelly,63,female,hatfieldallen,hobgoblin-warlord,aberration,17.75
Kimberly,59,female,stevenrichards,bugbear-chief,humanoid,6.23
Wanda,26,female,jamesrodriguez,young-kruthik,fiend (devil),18.84
Angelica,16,female,rrobinson,galeb-duhr,celestial,5.85
Christina,27,female,april74,magmin,fey (elf),14.3
Lisa,23,female,nelsonkevin,werewolf,dragon,7.15
Gabriella,60,female,reevesmegan,spy,humanoid (kuo-toa),5.07
Jamie,39,female,hatfieldallen,drow,beast,16.76
Melissa,43,female,kathryn75,bugbear-chief,fiend (demon),12.11
Christina,12,female,tabitha94,archmage,undead,8.54
Alyssa,61,female,zmcmillan,drow,beast,18.69
Tricia,29,female,zmcmillan,young-kruthik,beast,19.1
Emily,29,female,kathryn75,shadow-demon,humanoid (goblinoid),11.15
Ariel,66,female,lewispatricia,owlbear,beast,3.49
Amy,24,female,iadams,darkling-elder,undead,14.56
Meghan,24,female,ecrosby,shadow-demon,beast,2.66
Jessica,21,female,crawfordcharles,shadow-demon,fiend (yugoloth),8.44
Gina,44,female,crawfordcharles,galeb-duhr,beast,11.21
Veronica,41,female,tabitha94,owlbear,humanoid (any race),11.98
Tara,22,female,xbarker,spy,fiend (devil),6.28
Michelle,54,female,nelsonkevin,giant-constrictor-snake,fiend (yugoloth),14.33
Stephanie,38,female,crawfordcharles,mummy-lord,undead,16.91
Carol,53,female,todd72,warhorse-skeleton,construct,5.42
Valerie,65,female,mcdowellelizabeth,galeb-duhr,humanoid (elf),1.05
Alexa,64,female,qbennett,mummy-lord,humanoid (merfolk),17.0
Linda,64,female,rjones,galeb-duhr,monstrosity (titan),10.08
Tammy,39,female,kimberlybutler,imix,construct,4.92
Susan,69,female,kristinle,hobgoblin-warlord,undead (shapechanger),1.54
Michele,62,female,rita19,tyrannosaurus-rex,fiend (devil),19.41
Tammy,63,female,reevesmegan,werewolf,beast,7.3
Lisa,47,female,ymaxwell,mummy-lord,humanoid (any race),14.04
Brittney,45,female,ymaxwell,minotaur-skeleton,humanoid (elf),10.67
Tammie,38,female,reevesmegan,darkling-elder,"humanoid (human, shapechanger)",12.44
Cheyenne,46,female,zmcmillan,owlbear,ooze,9.7
Jodi,13,female,stevenrichards,minotaur-skeleton,humanoid (any race),11.42
Jill,34,female,robertbates,warhorse-skeleton,celestial,17.54
Kathryn,53,female,hatfieldallen,shadow-demon,beast,13.67
Gabrielle,43,female,stevenrichards,warhorse-skeleton,monstrosity (shapechanger),18.27
Debra,11,female,kathryn75,wight,undead,10.23
Stacy,77,female,johnsonmichael,warhorse-skeleton,fey,2.57
Jenna,5,female,ilarson,minotaur-skeleton,humanoid (any race),4.09
Melissa,66,female,pbrown,darkling-elder,humanoid (any race),12.78
Katherine,21,female,xbarker,drow,elemental,4.12
Danielle,67,female,zmcmillan,galeb-duhr,fey,3.45
Donna,74,female,xbarker,imix,aberration,17.04
Tracy,8,female,kimberlybutler,spy,monstrosity,15.5
Stephanie,55,female,hatfieldallen,imix,monstrosity,2.35
Brooke,32,female,diane20,warhorse-skeleton,fey,14.09
Crystal,51,female,rrobinson,shadow-demon,dragon,9.51
Tina,13,female,ymaxwell,young-kruthik,humanoid (human),3.81
Tammy,33,female,christopher53,warhorse-skeleton,giant,8.06
Heather,25,female,reevesmegan,tyrannosaurus-rex,elemental,15.73
Kimberly,80,female,iadams,giant-constrictor-snake,humanoid (any race),13.81
Jessica,35,female,todd72,imix,aberration,7.87
Jill,50,female,ymaxwell,galeb-duhr,humanoid (lizardfolk),15.79
Krista,32,female,ymaxwell,tyrannosaurus-rex,humanoid (gnoll),12.08
Penny,37,female,zachary04,darkling-elder,elemental,1.67
Michelle,30,female,xbarker,minotaur-skeleton,fey,8.02
Michelle,26,female,taylor07,mummy-lord,fiend (devil),16.93
Andrea,37,female,rjones,bugbear-chief,plant,17.66
Dana,72,female,jamesrodriguez,drow,humanoid (elf),9.43
Maria,25,female,april74,minotaur-skeleton,elemental,11.07
Michelle,79,female,lewispatricia,hobgoblin-warlord,monstrosity,9.46
Karla,50,female,rita19,giant-constrictor-snake,elemental,16.85
Penny,19,female,rita19,hobgoblin-warlord,humanoid (orc),2.84
Tina,74,female,pbrown,wight,humanoid (firenewt),19.85
Melissa,12,female,ilarson,galeb-duhr,beast,14.52
Sandra,48,female,qbennett,darkling-elder,humanoid (elf),12.51
Erin,62,female,taylor07,bugbear-chief,beast,3.05
Ruth,62,female,nicole31,spy,humanoid (dwarf),4.34
Kelly,45,female,rjones,galeb-duhr,beast,14.2
Renee,28,female,robertbates,tyrannosaurus-rex,undead,19.45
Melanie,43,female,rita19,shadow-demon,fey (elf),16.33
Elizabeth,36,female,tabitha94,owlbear,humanoid (human),6.85
Patricia,78,female,tabitha94,minotaur-skeleton,humanoid (any race),4.16
Rebecca,53,female,ecrosby,mummy-lord,aberration,12.29
Kathryn,39,female,taylor07,imix,fiend (demon),3.97
Brenda,27,female,zcharles,imix,beast,8.93
Jaime,46,female,stevenrichards,wight,aberration,8.44
Cassandra,76,female,rrobinson,owlbear,giant,16.83
Breanna,23,female,mcdowellelizabeth,young-kruthik,undead,1.65
Elizabeth,76,female,xbarker,warhorse-skeleton,monstrosity (titan),11.33
Katherine,58,female,zcharles,tyrannosaurus-rex,beast,8.68
Rebecca,11,female,reevesmegan,spy,aberration,16.7
Lindsay,51,female,rrobinson,galeb-duhr,humanoid (firenewt),14.16
Debra,68,female,taylor07,giant-constrictor-snake,plant,9.59
Sydney,11,female,kathryn75,tyrannosaurus-rex,elemental,4.43
Tiffany,21,female,fcrosby,young-kruthik,elemental,11.02
Shannon,41,female,rita19,hobgoblin-warlord,construct,16.22
Kaitlyn,79,female,pbrown,wight,fiend (yugoloth),17.34
Shelby,63,female,nelsonkevin,owlbear,humanoid (derro),2.25
Carol,59,female,johnsonmichael,bugbear-chief,beast,15.33
Rebecca,37,female,iadams,darkling-elder,beast,3.75
Crystal,53,female,crawfordcharles,archmage,construct,10.93
Danielle,30,female,ilarson,imix,fiend (demon),13.91
Andrea,69,female,april74,archmage,humanoid (tortle),5.25
Samantha,73,female,christopher53,tyrannosaurus-rex,fiend (devil),16.52
Robyn,33,female,ecrosby,young-kruthik,humanoid (any race),10.44
Sandra,45,female,stevenrichards,drow,humanoid (any race),15.66
Kristina,75,female,rrobinson,mummy-lord,fiend (devil),12.23
Brianna,5,female,ymaxwell,minotaur-skeleton,monstrosity,18.55
Jennifer,60,female,morenoellen,galeb-duhr,humanoid (any race),4.98
Claudia,58,female,qbennett,magmin,beast,4.38
Kristina,25,female,reevesmegan,warhorse-skeleton,fiend,15.21
Brianna,32,female,reevesmegan,giant-constrictor-snake,humanoid (elf),1.63
Christy,37,female,zmcmillan,tyrannosaurus-rex,fiend,10.66
Misty,38,female,stevenrichards,tyrannosaurus-rex,humanoid (any race),8.82
Lisa,64,female,christopher53,mummy-lord,dragon,5.38
Meghan,65,female,todd72,mummy-lord,humanoid (gnoll),9.47
Kelly,25,female,robertbates,swarm-of-poisonous-snakes,elemental,13.23
Hannah,42,female,stevenrichards,tyrannosaurus-rex,beast,16.85
Cheryl,44,female,crawfordcharles,swarm-of-poisonous-snakes,undead,1.62
Courtney,42,female,rrobinson,tyrannosaurus-rex,fiend (demon),4.09
Kristen,46,female,ymaxwell,magmin,aberration,16.83
Alicia,56,female,ilarson,giant-constrictor-snake,dragon,12.43
Heidi,55,female,zcharles,giant-constrictor-snake,humanoid (saurial),8.71
Jessica,74,female,stevenrichards,owlbear,plant,12.17
Melanie,71,female,diane20,giant-constrictor-snake,undead,8.53
Alexandra,43,female,zmcmillan,werewolf,fiend,17.26
Jennifer,12,female,ilarson,imix,elemental,5.98
Jennifer,12,female,reevesmegan,imix,plant,15.83
Terri,4,female,april74,shadow-demon,fey (elf),12.59
Mariah,16,female,zcharles,darkling-elder,monstrosity (shapechanger),18.5
Kelly,8,female,nelsonkevin,giant-constrictor-snake,humanoid (any race),15.33
Nicole,54,female,kathryn75,minotaur-skeleton,swarm of Tiny beasts,1.61
Patricia,76,female,ilarson,darkling-elder,humanoid (human),15.04
Phyllis,14,female,stevenrichards,drow,fey,15.74
Kristy,5,female,reevesmegan,spy,fiend (devil),17.0
Elizabeth,74,female,april74,imix,humanoid (any race),12.97
Leslie,58,female,christopher53,galeb-duhr,humanoid (any race),2.66
Alicia,13,female,april74,owlbear,humanoid (goblinoid),8.38
Melissa,15,female,christopher53,werewolf,humanoid (any race),9.57
Becky,19,female,rita19,shadow-demon,beast,11.81
Tracy,7,female,ilarson,darkling-elder,fey (elf),10.38
Laura,13,female,zmcmillan,young-kruthik,beast,7.84
Olivia,5,female,jamesrodriguez,owlbear,humanoid (elf),11.29
Jennifer,76,female,johnsonmichael,young-kruthik,fiend (yugoloth),12.88
Christine,66,female,pbrown,galeb-duhr,monstrosity,13.66
Jessica,76,female,fcrosby,mummy-lord,ooze,6.26
Ashley,21,female,april74,werewolf,fiend (devil),13.6
Jennifer,36,female,kathryn75,drow,humanoid,4.19
Shannon,80,female,kristinle,shadow-demon,undead,8.97
Lisa,9,female,april74,tyrannosaurus-rex,beast,1.71
Susan,42,female,diane20,hobgoblin-warlord,humanoid (any race),19.5
Michelle,39,female,taylor07,darkling-elder,celestial,8.9
Rachel,60,female,stevenrichards,shadow-demon,construct,13.0
Nicole,45,female,robertbates,archmage,beast,2.8
Crystal,49,female,kimberlybutler,young-kruthik,monstrosity,8.39
Amy,55,female,ymaxwell,wight,elemental,18.71
Jamie,80,female,mcdowellelizabeth,bugbear-chief,undead,7.82
Beth,68,female,rjones,shadow-demon,beast,11.79
Megan,77,female,pbrown,drow,humanoid (human),6.78
Alyssa,50,female,jamesrodriguez,imix,elemental,5.24
Katie,74,female,zcharles,owlbear,fiend,3.35
Rebecca,24,female,robertbates,swarm-of-poisonous-snakes,beast,9.54
Monica,38,female,zcharles,spy,undead,10.93
Alicia,65,female,todd72,shadow-demon,fiend (devil),6.72
Amber,30,female,fcrosby,werewolf,monstrosity,18.82
Theresa,77,female,reevesmegan,archmage,aberration,19.56
Amanda,40,female,kimberlybutler,mummy-lord,beast,12.01
Nicole,58,female,lewispatricia,shadow-demon,undead,11.94
Sonya,64,female,qbennett,magmin,undead,19.48
Crystal,9,female,zachary04,magmin,giant,19.69
Lisa,18,female,lewispatricia,warhorse-skeleton,beast,17.67
Laura,5,female,nicole31,archmage,dragon,6.96
Stephanie,35,female,tabitha94,mummy-lord,plant,7.83
Dana,32,female,reevesmegan,owlbear,humanoid (any race),4.9
Judy,41,female,qbennett,giant-constrictor-snake,construct,19.7
Deborah,70,female,rrobinson,mummy-lord,plant,18.97
Jennifer,24,female,rjones,owlbear,giant,1.4
Natalie,46,female,zmcmillan,owlbear,undead (shapechanger),7.86
Kelly,18,female,tabitha94,spy,undead,6.6
Alexandra,56,female,stevenrichards,magmin,humanoid (xvart),7.15
Dorothy,53,female,nelsonkevin,hobgoblin-warlord,beast,8.16
Martha,55,female,christopher53,drow,"humanoid (human, shapechanger)",13.3
Tina,75,female,reevesmegan,minotaur-skeleton,beast,10.86
Linda,49,female,rrobinson,shadow-demon,construct,2.14
Susan,5,female,xbarker,drow,fiend (devil),16.32
Melody,18,female,fcrosby,wight,beast,11.55
